Disease_Name,Symptom_List
Dengue fever,"['Bleeding from the nose or gums ', ' Vomiting often (at least 3 times in 24 hours) ', ' Bleeding under the skin (looks like bruises) ', ' Swollen lymph nodes ', ' Difficulty breathing, rapid breathing ', ' Cough ', ' Nasal stuffiness ', ' Fatigue ', ' Nausea and vomiting ', ' Sore throat ', ' Joint aches (often severe) ', ' Severe stomach pain and tenderness ', ' Muscle aches (often severe) ', ' Vomiting blood or passing blood in the stools or urine ', ' Feeling tired, restless, or irritable ', ' Headache (especially behind the eyes)']"
Dental cavities,"['Visible pits or holes in the teeth ', ' Tooth pain or achy feeling, particularly after sweet or hot or cold foods and drinks']"
Deodorant poisoning,"['Abdominal pain ', ' Blurred vision ', ' Slurred speech ', ' Breathing difficulty ', ' Low blood pressure ', ' Inability to walk normally ', ' Rash ', ' Burning pain in the throat ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' No urine output ', ' Lack of alertness (stupor) ', ' Diarrhea (watery, bloody) ', ' Collapse']"
Dependent personality disorder,"['Becoming very passive in relationships ', ' Avoiding being alone ', ' Feeling very upset or helpless when relationships end ', ' Becoming overly focused on fears of being abandoned ', ' Becoming easily hurt by criticism or disapproval ', ' Having problems expressing disagreements with others ', ' Having difficulty making decisions without support from others ', ' Avoiding personal responsibility']"
Depilatory poisoning,"['Abdominal pain ', ' Blurred vision ', ' Stupor (decreased level of consciousness) ', ' Slurred speech ', ' Breathing difficulty ', ' Low blood pressure ', ' Drooling ', ' Inability to walk normally ', ' Burns to the eye (if depilatory cream gets in the eye) ', ' Rash ', ' Collapse (shock) ', ' Burning pain in the throat ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' No urine output ', ' Diarrhea (watery, bloody)']"
Dermal melanocytosis,"['Normal in skin texture ', ' Flat with irregular shape and unclear edges ', ' Blue or blue-gray spots on the back, buttocks, base of spine, shoulders, or other body areas ', ' 2 to 8 centimeters wide or larger']"
Dermatitis herpetiformis,"['Rashes that are usually the same size and shape on both sides. ', ' Extremely itchy bumps or blisters, most often on the elbows, knees, back, and buttocks. ', ' The rash can look like eczema. ', ' Scratch marks and skin erosions instead of blisters in some people.']"
Dermatomyositis,"['Muscle weakness, stiffness, or soreness ', ' Purple color to the upper eyelids ', ' Shortness of breath ', ' Problems swallowing ', ' Difficulty swallowing ', ' Purple-red skin rash']"
Desipramine hydrochloride overdose,"['Eye pain in people at risk for a type of glaucoma ', ' Cannot urinate ', ' Constipation ', ' Rapid heartbeat ', ' Dry mouth ', ' Stupor (lack of alertness), coma ', ' Dilated (wide) pupils ', ' Blurred vision ', ' Urine does not flow easily ', ' Shock ', ' Uncoordinated movement ', ' Drowsiness ', ' Breathing slowed and labored ', ' Seizures ', ' Agitation, restlessness, confusion, hallucinations ', ' Vomiting ', ' Low blood pressure ', ' Rigidity or stiffness of the limbs ', ' Irregular heartbeat']"
Detergent poisoning,"['Breathing difficulty (from breathing in the detergent) ', ' Vomiting ', ' Holes (necrosis) in the skin or tissues underneath ', ' Irritation ', ' Burns and possible holes in the throat and esophagus (swallowing tube) ', ' Burns ', ' Severe pain in the throat ', ' Throat swelling (may also cause breathing difficulty) ', ' Loss of vision ', ' Severe change in acid level of blood (pH balance), which leads to damage in all of the body organs ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Vomiting blood ', ' Severe abdominal pain ', ' Low blood pressure that develops rapidly (shock) ', ' Collapse']"
Developmental coordination disorder,"['Problems with visual or fine motor coordination (for example, writing, using scissors, tying shoelaces, or tappingÂ\xa0one finger to another) ', ' Clumsiness ', ' Delays in sitting up, crawling, and walking ', ' Problems with sucking and swallowing during first year of life ', ' Problems with gross motor coordination (for example, jumping, hopping, or standing onÂ\xa0one foot)']"
Developmental disorders of the female genital tract,"['No menstruation (amenorrhea) ', ' Monthly cramping or pain, without menstruation ', ' Lump in the pelvic area, usually due to blood or mucus that cannot flow out of the uterus ', ' Menstrual flow that occurs despite using a tampon (a sign of a second vagina) ', ' Repeated miscarriages or preterm births (may be due to an abnormal uterus) ', ' Pain with sex ', ' Cannot empty the bladder ', ' Breasts do not grow']"
Developmental dysplasia of the hip,"['One shorter leg, so the child walks on their toes on one side and not the other side ', ' Shorter leg on the side with the hip dislocation ', ' Waddling or limping while walking ', ' Reduced movement on the side of the body with the dislocation ', "" The child's lower back is rounded inward "", ' Leg with hip problem may appear to turn out more ', ' Uneven skin folds of thigh or buttocks']"
Developmental expressive language disorder,"['Improper use of tenses (past, present, future) ', ' Problems remembering words ', ' Problems making complex sentences ', ' Below-average vocabulary skills']"
Developmental reading disorder,"['Rhyming words ', ' Learning to recognize written words ', ' Determining the meaning of a simple sentence']"
Dextrocardia,"['Repeated sinus or lung infections ', ' Jaundice (yellow skin and eyes) ', ' Fatigue ', ' Difficulty breathing ', ' Pale skin (pallor) ', ' Bluish skin ', ' Failure to grow and gain weight']"
Dextromethorphan overdose,"['Slow, unsteady walking ', ' Blurred vision ', ' Bluish-colored fingernails and lips ', ' Hallucinations ', ' Coma ', ' Constipation ', ' Spasms of the stomach and intestines ', ' Raised body temperature ', ' Breathing problems, including slow and labored breathing, shallow breathing, no breathing (especially in young children) ', ' Dizziness ', ' Nausea and vomiting ', ' Muscle twitches ', ' High or low blood pressure ', ' Drowsiness ', ' Seizures ', ' Pounding heartbeat (palpitations), rapid heartbeat']"
Diabetes,"['Kidney problems, which can lead to kidney failure ', ' Sores and infections of the leg or foot, which if untreated, can lead to amputation of the leg or foot ', ' Increased chance of having a heart attack or stroke ', ' Excess thirst ', ' Weakened immune system, which can lead to more frequent infections ', ' Fatigue ', ' Frequent urination ', ' Weight loss ', ' Blurry vision ', ' Eye problems, including trouble seeing (especially at night), light sensitivity, cataracts, and blindness ', ' Hunger ', ' Damage to nerves in the body, causing pain, tingling, a loss of feeling, problems digesting food, and erectile dysfunction']"
Diabetes and eye disease,"['Trouble seeing at night ', ' Floaters ', ' Shadows or missing areas of vision ', ' Blurred vision and slow vision loss over time']"
Diabetes and kidney disease,"['General ill feeling ', ' Irregular heartbeat ', ' Shortness of breath ', ' Itchy skin ', ' Nausea and vomiting ', ' Headache ', ' Poor appetite ', ' Easily develop infections ', ' Fatigue most of the time ', ' Swelling of the legs']"
Diabetes and nerve damage,"['Not know that you have a blister or small cut ', ' Bladder problems, which cause urine leakage or not being able to empty the bladder. ', ' Feeling full after eating only a small amount of food ', ' Have feet that are very dry and cracked ', "" Sweating too much, even when the temperature is cool, when you're at rest, or at other unusual times. "", ' Not notice angina, the chest pain that warns of heart disease and heart attack ', ' Not notice when your feet or hands touch something that is too hot or cold ', ' Sexual problems, which cause trouble getting an erection in men and vaginal dryness or orgasm problems in women. ', ' Have a fast heart rate ', ' Feet that are very sweaty (early nerve damage). ', ' Swallowing problems ', ' Nausea, constipation, or diarrhea ', ' Feel lightheaded when you stand up (orthostatic hypotension) ', ' Throwing up undigested food a few hours after a meal ', ' Heartburn and bloating ', ' Not notice when you step on something sharp ', ' Not being able to tell when your blood sugar gets too low.']"
Diabetes insipidus,"['Excessive urine volume ', ' Very dilute, pale urine ', ' Excessive urination, often needing to urinate every hour throughout the day and night ', ' Excessive thirst that may be intense or uncontrollable, usually with the need to drink large amounts of water or craving for ice water']"
Diabetic hyperglycemic hyperosmolar syndrome,"['Loss of feeling or function of muscles ', ' Problems with movement ', ' Feeling weak ', ' Speech impairment ', ' Weight loss ', ' Increased thirst and urination (at the beginning of the syndrome) ', ' Nausea ', ' Coma ', ' Confusion ', ' Seizures ', ' Dry mouth, dry tongue ', ' Fever']"
Diabetic ketoacidosis,"['Flushed face ', ' Fruity-smelling breath ', ' Deep, rapid breathing ', ' Dehydration ', ' Headache ', ' Stomach pain ', ' Dry skin and mouth ', ' Muscle stiffness or aches ', ' Frequent urination or thirst that lasts for a day or more ', ' Decreased alertness']"
Diaper rash,"['Red or scaly areas on the labia and vagina in girls ', ' Smaller red patches (called satellite lesions) that grow and blend in with the other patches ', ' VeryÂ\xa0red and scaly areas on the scrotum and penis in boys ', ' Bright red rash that gets bigger ', ' Pimples, blisters, ulcers, large bumps, or sores filled with pus']"
Diaphragmatic hernia,"['Bluish colored skin due to lack of oxygen ', ' Fast heart rate (tachycardia) ', ' Rapid breathing (tachypnea)']"
Diazepam overdose,"['Breathing is slow, labored, or stopped ', ' Drowsiness, lack of alertness ', ' Vision problems (blurred vision, double vision) ', ' Tremor ', ' Hiccups ', ' Dizziness ', ' Rapid side-to-side movement of the eyes ', ' Rash ', ' Tiredness ', ' Excitability ', ' Stomach upset ', ' Depression ', ' Confusion ', ' Weakness, uncoordinated movement ', ' Bluish-colored lips and fingernails']"
Diazinon poisoning,"['Increased salivation ', ' Weakness ', ' Headache ', ' Sweating ', ' Increased tears in the eyes ', ' Confusion ', ' Slow or rapid heart rate ', ' Abdominal cramps ', ' Anxiety ', ' Diarrhea ', ' Chest tightness ', ' Small or dilated pupils that do not react to light ', ' Loss of appetite ', ' Dizziness ', ' Difficulty breathing ', ' Inability to control urine flow (incontinence) ', ' Agitation ', ' Muscle Twitching ', ' Increased urination ', ' Convulsions ', ' Nausea and vomiting ', ' No breathing ', ' Coma ', ' Blue lips and fingernails ', ' Low or high blood pressure']"
Diclofenac sodium overdose,"['Nausea (common) ', ' Movement problems ', ' Coma (decreased level of consciousness and lack of responsiveness), in a very severe overdose ', ' Possible bleeding in the stomach and intestines ', ' Edema (swelling in the body or legs) ', ' Headache ', ' Rash ', ' Increased heart rate ', ' Confusion ', ' Seizures, in a very severe overdose ', ' Vomiting (common, sometimes with blood) ', ' Unsteadiness ', ' Diarrhea ', ' Chest pain ', ' Blurred vision ', ' Dizziness (common) ', ' Blurred vision (common) ', ' High or low blood pressure ', ' Agitation ', ' Ringing in the ears ', ' Stomach pain ', ' Drowsiness (common) ', ' Delirium (person is not making sense) ', ' Numbness and tingling ', ' Little or no urine output ', ' Wheezing or trouble breathing, especially in those who have asthma or lung conditions']"
Dieffenbachia poisoning,"['Increased saliva production ', ' Burning in mouth and throat ', ' Hoarse voice ', ' Nausea and vomiting ', ' Pain on swallowing ', ' Blisters in the mouth ', ' Redness, swelling, pain, and burning of the eyes, and possible corneal damage ', ' Diarrhea ', ' Swelling of mouth and tongue']"
Diesel oil,"['Weakness ', ' Burns of the throat (esophagus) ', ' Secondary bacterial or viral infection ', ' Headache ', ' Blood in the stool ', ' Somnolence (sleepiness and decreased responsiveness) ', ' Severe abdominal pain ', ' Brain damage from low oxygen levels (may lead to memory issues and decreased ability to think clearly) ', ' Confusion ', ' Low blood pressure that develops rapidly (shock) ', ' Severe pain in the throat ', ' Burns ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Respiratory distress or failure ', ' Pleural effusion (fluid surrounding the lungs, reducing their ability to expand) ', ' Blurred vision ', ' Irritation ', ' Dizziness ', ' Loss of vision ', ' Hemorrhagic pulmonary edema (bloody fluid in the lungs) ', ' Decreased coordination ', ' Pneumothorax (lung collapse, partial or complete) ', ' Vomiting blood ', ' Empyema (infected fluid surrounding the lungs) ', ' Agitation ', ' Seizures ', ' Lung irritation and cough ', ' Vomiting ', ' Breathing difficulty ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Throat swelling (may also cause breathing difficulty) ', ' Collapse']"
Differences of sex development,"['The opening of the penis is somewhere other than at the tip (hypospadias); in females, the urethra (urine canal) opens into the vagina ', ' Delayed or absent puberty ', ' Partly fused labia ', ' A very small penis (micropenis) ', ' Otherwise unusual-appearing genitalia at birth ', ' Undescended testes (which may turn out to be ovaries) in boys ', ' Ambiguous genitalia at birth ', ' Enlarged clitoris (clitoromegaly) ', ' Electrolyte abnormalities ', ' Labial or groin (inguinal) masses (which may turn out to be testes) in girls ', ' Unexpected changes at puberty']"
Digitalis toxicity,"['Vision changes (unusual), including blind spots, blurred vision, changes in how colors look, or seeing spots ', ' Decreased consciousness ', ' Nausea, vomiting, diarrhea ', ' Decreased urine output ', ' Loss of appetite ', ' Fast heartbeat ', ' Excessive nighttime urination ', ' Difficulty breathing when lying down ', ' Irregular pulse ', ' Confusion ', ' Overall swelling']"
Dilantin overdose,"['Involuntary, jerky, repeated movement of the eyeballs called nystagmus (early sign) ', ' Severe blistering of the skin (rare) ', ' Lethargy ', ' Coma ', ' Low blood pressure ', ' Tremor (uncontrollable, repeated shaking of the arms or legs) ', ' Swollen gums ', ' Slow or slurred speech ', ' Slow or irregular heartbeat (usually only when taken intravenously, such as at a hospital) ', ' Staggering gait or walk (early sign) ', ' Fever (rare) ', ' Nausea and vomiting ', ' Swelling and purplish discoloration of the hand (only when taken intravenously, such as at a hospital) ', ' Unsteadiness, uncoordinated movements (early sign) ', ' Drowsiness ', ' Confusion ', ' Seizures']"
Dilated cardiomyopathy,"['Cough ', ' Swelling of feet and ankles ', ' Irregular or rapid pulse ', ' Loss of appetite ', ' Chest pain or pressure (more likely with exercise) ', ' Shortness of breath with activity or after lying down (or being asleep) for a while ', ' Fatigue, weakness, faintness']"
Dimenhydrinate overdose,"['Tremor ', ' Rapid heartbeat ', ' Confusion ', ' Very dry eyes ', ' Dry mouth ', ' Unsteadiness ', "" Hallucinations (seeing or hearing things that aren't there) "", ' Blurred vision ', ' Enlarged pupils ', ' Delirium ', ' Depression ', ' Nausea ', ' Drowsiness ', ' Agitation ', ' Seizures ', ' Ringing in the ears ', ' Increased sleepiness ', ' Nervousness ', ' Vomiting ', ' Dry, red skin ', ' Low blood pressure ', ' Inability to urinate']"
Diphenhydramine overdose,"['Tremor ', ' Rapid heartbeat ', ' Confusion ', ' Very dry eyes ', ' Dry mouth ', ' Unsteadiness ', ' Blurred vision ', ' Enlarged pupils ', ' Delirium ', ' Depression ', ' Nausea ', ' Drowsiness ', ' Agitation ', ' Seizures ', ' Ringing in the ears ', ' Increased sleepiness ', ' Nervousness ', ' Vomiting ', ' Dry, red skin ', ' Low blood pressure ', "" HallucinationsÂ\xa0(seeing or hearing things that aren't there) "", ' Inability to urinate']"
Diphtheria,"['Fever and chills ', ' Drooling (suggests airway blockage is about to occur) ', ' Skin sores (usually seen in tropical areas) ', ' Painful swallowing ', ' Bluish coloration of the skin ', ' Croup-like (barking) cough ', ' Breathing problems, including difficulty breathing, fast breathing, high-pitched breathing sound (stridor) ', ' Sore throat, hoarseness ', ' Bloody, watery drainage from nose']"
Diskitis,"['Recent flu-like symptoms ', ' Neck pain ', ' Refusal to sit up, stand, or walk (younger child) ', ' Difficulty getting up and standing ', ' Increased curvature of the back ', ' Irritability ', ' Back pain ', ' Sweating at night ', ' Stiffness in back ', ' Fever (typically 102Â°F or 38.9Â°C or lower) ', ' Abdominal pain']"
Dislocated shoulder - aftercare,"['Do not give aspirin to children. ', ' Do not place rings on your fingers until your doctor tells you it is safe to do so. ', ' Do not move your shoulder. ', ' You can move your wrist and elbow while in the sling. ', ' Put an ice pack on the area right after you injure it. ', ' Talk with your health care provider before using these medicines if you have heart disease, high blood pressure, kidney disease, or have had stomach ulcers or internal bleeding in the past. ', ' Do not take more than the amount recommended on the medicine bottle or by your provider. ', ' Keep your arm close to your body.']"
Dislocation,"['Limited in movement ', ' Swollen or bruised ', ' Visibly out of place, discolored, or misshapen ', ' Very painful, especially if you try to use the joint or put weight on it ', ' Accompanied by numbness or tingling at the joint or beyond it']"
Disseminated intravascular coagulation (DIC),"['Bleeding, from many sites in the body ', ' Shortness of breath ', ' Drop in blood pressure ', ' Bruising ', ' Confusion, memory loss or change of behavior ', ' Fever']"
Disseminated tuberculosis,"['Chills ', ' Fatigue ', ' Weight loss ', ' General discomfort, uneasiness, or ill feeling (malaise) ', ' Pale skin due to anemia (pallor) ', ' Sweating ', ' Cough and shortness of breath ', ' Fever ', ' Swollen glands ', ' Abdominal pain or swelling ', ' Joint pain']"
Distal median nerve dysfunction,"['Sensation changes in the thumb, index, middle, and part of the ring fingers, such as a burning feeling, decreased sensation, numbness and tingling ', ' Weakness of the hand that causes you to drop things or have difficulty grasping objects or buttoning a shirt ', ' Pain in the wrist or hand that may be severe and wake you up at night, and that may be felt in other areas, such as the upper arm (this is called referred pain)']"
Distal renal tubular acidosis,"['Decreased urine output ', ' Nephrocalcinosis (too much calcium deposited in the kidneys) ', ' Bone pain ', ' Fatigue ', ' Increased heart rate or irregular heartbeat ', ' Osteomalacia (softening of the bones) ', ' Impaired growth in children ', ' Pain in the back, flank, or abdomen ', ' Muscle cramps ', ' Muscle weakness ', ' Skeletal abnormalities ', ' Increased breathing rate ', ' Confusion or decreased alertness ', ' Kidney stones']"
Diverticulitis,"['Fever and chills ', ' Tenderness, usually in the left lower part of the abdomen ', ' Nausea and vomiting ', ' Bloating or gas ', ' Not feeling hungry and not eating']"
Diverticulosis,"['Constipation (sometimes diarrhea) ', ' Pain and cramps in your stomach especially in the left lower abdomen ', ' Not feeling hungry and not eating ', ' Bloating or gas']"
Donovanosis (granuloma inguinale),"['Small, beefy-red bumps on the genitals or around the anus ', ' Sores in the anal area (in about half of cases)']"
Double aortic arch,"['Choking ', ' Repeated pneumonias ', ' Noisy breathing ', ' High-pitched sound during breathing (stridor) ', ' Vomiting ', ' Difficulty eating and swallowing ', ' Wheezing']"
Double inlet left ventricle,"['Poor feeding from becoming tired easily ', ' Swollen legs or abdomen ', ' Pale skin (pallor) ', ' Sweating ', ' Bluish color to the skin and lips (cyanosis) due to low oxygen in the blood ', ' Failure to gain weight and grow ', ' Trouble breathing']"
Double outlet right ventricle,"['Poor feeding from becoming tired easily ', ' Pale coloring ', ' Bluish color of the skin and lips ', ' Enlarged heart ', ' Swollen legs or abdomen ', ' Rapid heartbeat ', ' Rapid breathing ', ' Clubbing (thickening of the nail beds) of toes and fingers (late sign) ', ' Sweating ', ' Failure to gain weight and grow ', ' Heart murmur ', ' Trouble breathing']"
Down syndrome,"['Hearing problems, probably caused by repeated ear infections ', ' Upward slanting eyes ', ' Short attention span ', ' DementiaÂ ', ' Small mouth ', ' White spots on the colored part of the eye (Brushfield spots) ', ' Impulsive behavior ', ' Birth defects involving the heart, such as an atrial septal defect or ventricular septal defect ', ' Long-term (chronic) constipation problems ', ' Decreased muscle tone at birth ', ' Single crease in the palm of the hand ', ' Separated joints between the bones of the skull (sutures) ', ' Sleep apnea (because the mouth, throat, and airway are narrowed in children with Down syndrome) ', ' Teeth that appear later than normal and in a location that may cause problems with chewing ', ' Eye problems, such as cataracts (most children with Down syndrome need glasses) ', ' Underactive thyroid (hypothyroidism) ', ' Wide, short hands with short fingers ', ' Excess skin at the nape of the neck ', ' Slow learning ', ' Poor judgment ', ' Early and massive vomiting, which may be a sign of a gastrointestinal blockage, such as esophageal atresia and duodenal atresia ', ' Flattened nose ', ' Small ears ', ' Hip problems and risk of hipÂ\xa0dislocation']"
Doxepin overdose,"['Constipation ', ' Headache ', ' Unpleasant taste in mouth ', ' Hard to empty bladder ', ' Irregular heartbeat (may be fatal) ', ' Hard to start urinating ', ' Dry mouth ', ' Muscle rigidity,Â\xa0lack of coordination ', ' Blurred vision ', ' Agitation, confusion ', ' Drowsiness, decreased alertness, coma ', ' Difficulty breathing ', ' Shock ', ' Very sensitive to sunlight ', ' Seizures ', ' Ringing in the ears ', ' Restlessness ', ' Slow breathing ', ' Low blood pressure ', ' Nausea and vomiting']"
Drain cleaner poisoning,"['Burning ', ' Abdominal pain (severe) ', ' Chest pain ', ' Severe pain ', ' Vomiting, often bloody ', ' Loss of vision if the poison touched the eyes ', ' Rapid drop in blood pressure (shock) ', ' Throat pain (severe) ', ' Drooling ', ' Breathing difficulty due to throat swelling ', ' Vision lossÂ ', ' Mouth pain (severe) ', ' Burns of the mouth and throat ', ' Diarrhea ', ' Severe burns and tissue damage ', ' Collapse']"
Drain opener poisoning,"['Burns to the eyes, which may result in permanent vision loss ', ' Vomiting ', ' Holes (necrosis) in the skin or tissues underneath ', ' Breathing difficulty (from breathing in drain opening agent) ', ' Irritation ', ' Throat swelling (may also cause breathing difficulty) ', ' Burns ', ' Severe pain in the throat ', ' Severe change in acid level of blood (pH balance), which leads to damage in all of the body organs ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Burns and possible holes in the throat (esophagus) ', ' Vomiting blood ', ' Severe abdominal pain ', ' Low blood pressure that develops rapidly (shock) ', ' Collapse']"
Drainpipe cleaners,"['Vomiting ', ' Breathing difficulty (from breathing in drainpipe cleaner) ', ' Holes (necrosis) in the skin or tissues underneath ', ' Irritation ', ' Throat swelling (may also cause breathing difficulty) ', ' Burns ', ' Severe pain in the throat ', ' Loss of vision ', ' Severe change in acid level of blood (pH balance), which leads to damage in all of the body organs ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Burns and possible holes (perforation) in the throat (esophagus) ', ' Vomiting blood ', ' Severe abdominal pain ', ' Low blood pressure that develops rapidly (shock) ', ' Collapse']"
Drug allergies,"['Hives over different parts of the body ', ' Itching of the skin or eyes (common) ', ' Fainting, lightheadedness ', ' Abdominal pain or cramping ', ' Nausea, vomiting ', ' Dizziness ', ' Swelling of the lips, tongue, or face ', ' Bleeding ', ' Difficulty breathing with wheezing or hoarse voice ', ' Diarrhea ', ' Sensation of feeling the heart beat (palpitations) ', ' Rapid pulse ', ' Confusion ', ' Skin rash (common)']"
Drug use first aid,"['Violent or aggressive behavior ', ' Nausea, vomiting, diarrhea ', ' Abdominal cramping ', ' Death ', ' Cold sweat ', ' Drowsiness, coma ', ' Agitation, restlessness ', ' Agitation ', ' Staggering or unsteady gait (ataxia) ', ' Nausea and vomiting ', ' Difficulty breathing ', ' Depression ', ' Seizures, tremors ', "" Abnormal pupil size or pupils that don't change size when light is shined into them "", ' Sweating or extremely dry, hot skin, blisters, rash ', ' Seizures ', ' Delusions, hallucinations ', ' Delusional or paranoid behavior, hallucinations']"
Drug-induced immune hemolytic anemia,"['Dark urine ', ' Yellow skin and whites of the eyes (jaundice) ', ' Pale skin color ', ' Shortness of breath ', ' Fatigue ', ' Rapid heart rate']"
Drug-induced liver injury,"['Dark urine ', ' Loss of appetite ', ' Fatigue ', ' Jaundice ', ' Nausea and vomiting ', ' Headache ', ' Rash ', ' White or clay-colored stools ', ' Diarrhea ', ' Abdominal pain ', ' Fever']"
Drug-induced lupus erythematosus,"['Joint swelling ', ' Loss of appetite ', ' Skin rash on areas exposed to sunlight ', ' Pleuritic chest pain (sharp pain that is worse with breathing in) ', ' Fever ', ' General ill feeling (malaise) ', ' Joint pain']"
Drug-induced pulmonary disease,"['Chest pain ', ' Bloody sputum ', ' Cough ', ' Shortness of breath ', ' Wheezing ', ' Fever']"
Drug-induced thrombocytopenia,"['Abnormal bleeding ', ' Bleeding when you brush your teeth ', ' Pinpoint red spots on the skin (petechiae) ', ' Easy bruising']"
Drug-induced tremor,"['Get worse with voluntary movement and emotional stress ', ' Head nodding ', ' Disappear during sleep ', ' Episodic (occurring in bursts, sometimes about an hour after taking the medicine) ', ' Occur either with movement or at rest ', ' Problems with writing, drawing, drinking from a cup, or using tools if the tremor affects the hands ', ' Shaking or quivering sound to the voice ', ' Sporadic (happens on occasion) ', ' Intermittent (comes and goes with activity, but not always)']"
Dry cell battery poisoning,"['Weakness ', ' Itching skin ', ' Slurred speech ', ' Spastic walk ', ' Tremor ', ' Decreased mental ability ', ' Swelling of the lower legs, ankles, or feet ', ' NumbnessÂ\xa0of the fingers or toes ', ' Headache ', ' Muscle cramps ', ' PneumoniaÂ\xa0(from irritation and blockage of the airways) ', ' Irritation or burns in the mouth ', ' Rapid drop in blood pressure (shock) ', ' Diarrhea ', ' Abdominal pain ', ' Breathing difficulty from throat swelling ', ' Drooling ', ' Weakness in the legs ', ' Bronchial irritation and cough ', ' Vomiting ', ' Throat pain ', ' Difficulty sleeping']"
Dry eye syndrome,"['Gritty or scratchy feeling in the eye ', ' Blurred vision ', ' Burning, itching, or redness in the eye ', ' Sensitivity to light']"
Dry socket,"['Slight fever ', ' An empty socket with a missing blood clot ', ' Pain that radiates from the socket to your ear, eye, temple, or neck on the same side that your tooth was pulled ', ' Bad taste in your mouth ', ' Bad breath or a terrible smell coming from your mouth ', ' Severe pain 1 to 3 days after the tooth is pulled']"
Duchenne muscular dystrophy,"['Begins in the legs and pelvis, but also occurs less severely in the arms, neck, and other areas of the body. ', ' Ability to walk may be lost by age 12, and the child will have to use a wheelchair. ', ' Problems with motor skills (running, hopping, jumping). ', ' Learning difficulties (the IQ can be below 75). ', ' Frequent falls. ', ' Problem breathing due to a weakening of the respiratory muscles.Â ', ' Breathing difficulties and heart disease usually start by age 20. ', ' Fatigue ', ' Trouble getting up from a lying position or climbing stairs. ', ' Intellectual disability (possible, but does not get worse over time). ', ' Gradual worsening of muscle weakness. ', ' Shortness of breath, fatigue, and swelling of the feet due to a weakening of the heart muscle.Â']"
Duodenal atresia,"['Upper abdominal swelling (sometimes) ', ' Continued vomiting even when infant has not been fed for several hours ', ' Early vomiting of large amounts, which may be greenish (containing bile) ', ' No bowel movements after first few meconium stools']"
Dye remover poisoning,"['Vomiting ', ' Burns and possible holes (perforations) in the esophagus ', ' Holes (necrosis) in the skin or tissues underneath ', ' Irritation ', ' Throat swelling (may also cause breathing difficulty) ', ' Severe pain in the throat ', ' Burns ', ' Loss of vision ', ' Collapse ', ' Severe change in acid level of blood (pH balance), which leads to damage in all of the body organs ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Vomiting blood ', ' Severe abdominal pain ', ' Low blood pressure that develops rapidly (shock) ', ' Breathing difficulty (from breathing in dye remover)']"
Dysarthria,"['Speaking softly or in a whisper ', ' Sounding as though they are mumbling ', ' Speaking in a nasal or stuffy, hoarse, strained, or breathy voice']"
Dysgraphia,"['Poor handwriting ', ' Poor spelling ', ' Poorly organized writing ', ' The need to say words aloud when writing ', ' Errors in grammar and punctuation']"
E coli enteritis,"['Kidney failure ', ' Bruises that happen easily ', ' Loss of appetite ', ' Vomiting (rare) ', ' Pale skin ', ' Stomach cramping ', ' Reduced amount of urine ', ' Gas ', ' Red or bloody urine ', ' Fever']"
Ear barotrauma,"['Ear discomfort or pain in one or both ears ', ' Ear pain ', ' Dizziness ', ' Nosebleed ', ' Moderate to severe hearing loss ', ' Feeling of pressure in the ears (as if underwater) ', ' Sensation of fullness or stuffiness in the ears ', ' Hearing loss (slight)']"
Ear emergencies,"['Bleeding from the ear ', ' Visible object in the ear ', ' Noises in the ear ', ' Sensations of an object in the ear ', ' Earache ', ' Dizziness ', ' Nausea and vomiting ', ' Loss of hearing ', ' Swelling ', ' Bruising or redness ', ' Fever ', ' Clear liquid coming out of the ear (brain fluid)']"
Ear infection - acute,"['Feeling of general illness ', ' Vomiting ', ' Lethargy ', ' Fullness in the ear ', ' Cough ', ' Ear pain ', ' Nasal congestion ', ' Loss of appetite ', ' Drainage of fluid from the ear ', ' Diarrhea ', ' Hearing loss in the affected ear']"
Ear infection - chronic,"['Hearing loss ', ' Pus-like drainage from the ear ', ' Fever, usually low-grade ', ' Fussiness in infants ', ' Ear pain or discomfort that is usually mild and feels like pressure in the ear']"
Ear wax,"['Partial hearing loss, may get worse ', ' Fullness in the ear or a sensation that the ear is plugged ', ' Noises in the ear (tinnitus) ', ' Earache']"
Ebola virus disease,"['Weakness ', ' Vomiting ', ' Bleeding from eyes, ears, and nose ', ' Chills ', ' Muscle pain ', ' Fatigue ', ' Bleeding from the mouth and rectum ', ' Severe headache ', ' Rash ', ' Sore throat ', ' Abdominal (stomach) pain ', ' Diarrhea ', ' Organ failure ', ' Fever greater than 101.5Â°F (38.6Â°C)']"
Ebstein anomaly,"['Failure to grow ', ' Cough ', ' Shortness of breath ', ' Fatigue ', ' Very fast heartbeat ', ' Rapid breathing']"
